case,alpha,omega_i,beta_L,wavelength_Lsep
Re_delta = 63560,20,-0.0155,0.31,0.72
Re_delta = 63560,21,-0.0075,0.30,0.72
Re_delta = 63560,22,-0.003,0.30,0.71
Re_delta = 63560,23,0.0,0.29,0.70
Re_delta = 63560,24,0.0015,0.28,0.70
Re_delta = 63560,25,0.002,0.28,0.70
Re_delta = 132840,19,-0.0095,0.98,2.55
Re_delta = 132840,20,-0.0005,0.82,2.05
Re_delta = 132840,21,0.003,0.68,1.75
Re_delta = 132840,22,0.0045,0.60,1.45
Re_delta = 132840,23,0.0045,0.55,1.25
Re_delta = 132840,24,0.004,0.50,1.1
Re_delta = 132840,25,0.0045,0.45,1.0
