panel,omega_r,omega_i,lambda_re,lambda_im
0,-0.0,0.0030930823519300004,10.54073,0.0
0,-0.0,0.00307706047333,10.48613,0.0
0,-0.0,0.0030696452192600005,10.46086,0.0
0,-0.0006545788387000001,0.0029964933123700003,10.21157,2.2307
0,0.0006545788387000001,0.0029964933123700003,10.21157,-2.2307
0,-0.0009102745228700001,0.00271339904203,9.24683,3.10207
0,0.0009102745228700001,0.00271339904203,9.24683,-3.10207
0,-0.0,0.0026710467025,9.1025,0.0
0,-0.00034818241855000005,0.0025562056327400003,8.71114,1.18655
0,0.00034818241855000005,0.0025562056327400003,8.71114,-1.18655
0,-0.00027843442726000004,0.0025264243056500003,8.60965,0.94886
0,0.00027843442726000004,0.0025264243056500003,8.60965,-0.94886
0,-0.0005365891470100001,0.0024297912499400003,8.28034,1.82861
0,0.0005365891470100001,0.0024297912499400003,8.28034,-1.82861
0,-0.0,0.00229893710481,7.83441,0.0
0,-0.0,0.00211965639145,7.22345,0.0
0,-0.0,0.00210996110081,7.19041,0.0
0,-0.0008264032162500001,0.00202731637757,6.90877,2.81625
0,0.0008264032162500001,0.00202731637757,6.90877,-2.81625
0,-0.00102221052673,0.0018921427809200002,6.44812,3.48353
0,0.00102221052673,0.0018921427809200002,6.44812,-3.48353
0,-0.0,0.0017998702584700002,6.13367,0.0
0,-0.0,0.00174537239595,5.94795,0.0
0,-0.00023336482407000002,0.0016758767639200001,5.71112,0.79527
0,0.00023336482407000002,0.0016758767639200001,5.71112,-0.79527
0,-0.00099218564361,0.00161999092547,5.52067,3.38121
0,0.00099218564361,0.00161999092547,5.52067,-3.38121
0,-0.0009514442951700002,0.00159737836201,5.44361,3.24237
0,0.0009514442951700002,0.00159737836201,5.44361,-3.24237
0,-0.00015219610906000002,0.0015213155204,5.1844,0.51866
0,0.00015219610906000002,0.0015213155204,5.1844,-0.51866
0,-0.00036777253971,0.0014332832204000002,4.8844,1.25331
0,0.00036777253971,0.0014332832204000002,4.8844,-1.25331
0,-0.0008047149919400001,0.00142087946933,4.84213,2.74234
0,0.0008047149919400001,0.00142087946933,4.84213,-2.74234
0,-0.0,0.00138544059976,4.72136,0.0
0,-0.0010000968129700001,0.00137328920795,4.67995,3.40817
0,0.0010000968129700001,0.00137328920795,4.67995,-3.40817
0,-0.0,0.0013628133642500002,4.64425,0.0
0,-0.0,0.0012473355275200001,4.25072,0.0
0,-0.00015307936647,0.0011608203174900001,3.95589,0.52167
0,0.00015307936647,0.0011608203174900001,3.95589,-0.52167
0,-0.0,0.00111112021532,3.78652,0.0
0,-0.0006155130383700001,0.0010657601055400001,3.63194,2.09757
0,0.0006155130383700001,0.0010657601055400001,3.63194,-2.09757
0,-0.00033541773505,0.0010245844644200001,3.49162,1.14305
0,0.00033541773505,0.0010245844644200001,3.49162,-1.14305
0,-1.354523656e-05,0.0010099065456000002,3.4416,0.04616
0,1.354523656e-05,0.0010099065456000002,3.4416,-0.04616
0,-0.00030474141291000006,0.0009716154295100002,3.31111,1.03851
0,0.00030474141291000006,0.0009716154295100002,3.31111,-1.03851
