panel,omega_r,omega_i,lambda_re,lambda_im
0,-0.0,0.05096629128177,173.68497,0.0
0,-0.0,0.04932479406541001,168.09101,0.0
0,-0.011056269998,0.03336053260576,113.68736,37.678
0,0.011056269998,0.03336053260576,113.68736,-37.678
0,-0.0,0.03085288265529,105.14169,0.0
0,-0.0,0.02974719696729,101.37369,0.0
0,-0.01887917523961,0.02914695166415,99.32815,64.33721
0,0.01887917523961,0.02914695166415,99.32815,-64.33721
0,-0.0,0.028200255244360005,96.10196,0.0
0,-0.00240960250914,0.028073209963410003,95.66901,8.21154
0,0.00240960250914,0.028073209963410003,95.66901,-8.21154
0,-0.00129778096983,0.02781560397833,94.79113,4.42263
0,0.00129778096983,0.02781560397833,94.79113,-4.42263
0,-0.00865836698153,0.027134040305270002,92.46847,29.50633
0,0.00865836698153,0.027134040305270002,92.46847,-29.50633
0,-0.0,0.02641883068715,90.03115,0.0
0,-0.00376468957186,0.025566845284520003,87.12772,12.82946
0,0.00376468957186,0.025566845284520003,87.12772,-12.82946
0,-0.00116816514572,0.024485406626350004,83.44235,3.98092
0,0.00116816514572,0.024485406626350004,83.44235,-3.98092
0,-0.00595513567015,0.024095358980330002,82.11313,20.29415
0,0.00595513567015,0.024095358980330002,82.11313,-20.29415
0,-0.012147849977130002,0.022541682786450003,76.81845,41.39793
0,0.012147849977130002,0.022541682786450003,76.81845,-41.39793
0,-0.01654820024642,0.02249957400295,76.67495,56.39362
0,0.01654820024642,0.02249957400295,76.67495,-56.39362
0,-0.005142427345370001,0.021752273677070003,74.12827,17.52457
0,0.005142427345370001,0.021752273677070003,74.12827,-17.52457
0,-0.0030722157624200005,0.02148012182162,73.20082,10.46962
0,0.0030722157624200005,0.02148012182162,73.20082,-10.46962
0,-0.00055862656611,0.021451191473430005,73.10223,1.90371
0,0.00055862656611,0.021451191473430005,73.10223,-1.90371
0,-0.01199957423983,0.020690677499320003,70.51052,40.89263
0,0.01199957423983,0.020690677499320003,70.51052,-40.89263
0,-0.011571247215360002,0.020224798830080003,68.92288,39.43296
0,0.011571247215360002,0.020224798830080003,68.92288,-39.43296
0,-0.011571253084180002,0.020224795895670004,68.92287,39.43298
0,0.011571253084180002,0.020224795895670004,68.92287,-39.43298
0,-0.00580212966393,0.019777474435270004,67.39847,19.77273
0,0.00580212966393,0.019777474435270004,67.39847,-19.77273
0,-0.0,0.01887560993146,64.32506,0.0
0,-0.010869380359510001,0.01846535887259,62.92699,37.04111
0,0.010869380359510001,0.01846535887259,62.92699,-37.04111
0,-0.00749141668155,0.018370747625370002,62.60457,25.52955
0,0.00749141668155,0.018370747625370002,62.60457,-25.52955
0,-0.006865151964940001,0.01806813659412,61.57332,23.39534
0,0.006865151964940001,0.01806813659412,61.57332,-23.39534
0,-0.0,0.0173257836835,59.0435,0.0
0,-0.0,0.0172436788917,58.7637,0.0
0,-0.00383266517951,0.01701331596906,57.97866,13.06111
0,0.00383266517951,0.01701331596906,57.97866,-13.06111
0,-0.0,0.016277398219570003,55.47077,0.0
0,-0.0,0.015802927597850003,53.85385,0.0
0,-0.0,0.01580292466344,53.85384,0.0
0,-0.0016944016942500003,0.01576560777147,53.72667,5.77425
0,0.0016944016942500003,0.01576560777147,53.72667,-5.77425
0,-0.009405174326530001,0.01571740128399,53.56239,32.05133
0,0.009405174326530001,0.01571740128399,53.56239,-32.05133
0,-0.0056636167087,0.015503749826300001,52.8343,19.3007
0,0.0056636167087,0.015503749826300001,52.8343,-19.3007
0,-0.006290852715020001,0.01532139972008,52.21288,21.43822
0,0.006290852715020001,0.01532139972008,52.21288,-21.43822
