panel,omega_r,omega_i,lambda_re,lambda_im
betaL = 0,-0.0,5.6158142238e-05,0.19602,0.0
betaL = 0,-0.0,5.3061164799e-05,0.18521,0.0
betaL = 0,-4.5689728212e-05,5.0683282028999996e-05,0.17691,0.15948
betaL = 0,4.5689728212e-05,5.0683282028999996e-05,0.17691,-0.15948
betaL = 0,-0.0,2.3472281367e-05,0.08193,0.0
betaL = 0,-7.182924916799999e-05,1.9338203249999998e-05,0.0675,0.25072
betaL = 0,7.182924916799999e-05,1.9338203249999998e-05,0.0675,-0.25072
betaL = 0,-0.0,1.6118034293999996e-05,0.05626,0.0
betaL = 0,-0.0,1.1092966367999999e-05,0.03872,0.0
betaL = 0,-0.0,4.363271637e-06,0.01523,0.0
betaL = 0,-0.0,-1.3172897561999998e-05,-0.04598,0.0
betaL = 0,-0.0,-4.1060019107999996e-05,-0.14332,0.0
betaL = 0,-0.0,-4.265577899099999e-05,-0.14889,0.0
betaL = 0,-0.0,-4.328892609e-05,-0.1511,0.0
betaL = 0,-0.0,-4.6855750244999993e-05,-0.16355,0.0
betaL = 0,-4.4509381584e-05,-4.9958457522e-05,-0.17438,0.15536
betaL = 0,4.4509381584e-05,-4.9958457522e-05,-0.17438,-0.15536
